Graph, Category,Live Bytes,# Living,# Transitory,Overall Bytes,# Overall,# Allocations (Net / Overall)
0,Malloc 11,00 KB,11,00 KB,1,0,11,00 KB,1,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,Malloc 1,50 KB,1,50 KB,1,0,1,50 KB,1,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,Malloc 240 Bytes,0 Bytes,0,1,240 Bytes,1,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,NSPlaceholderString,16 Bytes,1,0,16 Bytes,1,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,NSPlaceholderMutableString,16 Bytes,1,0,16 Bytes,1,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,Malloc 784,00 KB,0 Bytes,0,1,784,00 KB,1,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,Malloc 352 Bytes,352 Bytes,1,0,352 Bytes,1,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,CFBundle,144 Bytes,1,0,144 Bytes,1,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,__CFx606449CHT,160 Bytes,1,0,160 Bytes,1,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,__NSArrayI,0 Bytes,0,1,816 Bytes,1,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,CFString,0 Bytes,0,0,0 Bytes,0,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,CFBasicHash,0 Bytes,0,0,0 Bytes,0,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,Malloc 496 Bytes,0 Bytes,0,0,0 Bytes,0,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,Malloc 368 Bytes,0 Bytes,0,0,0 Bytes,0,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,Malloc 816 Bytes,0 Bytes,0,0,0 Bytes,0,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
0,Malloc 576 Bytes,0 Bytes,0,0,0 Bytes,0,<XRRatioObject: 0x7fde7c4f1940>  %0.00, %0.00
